fruit_name,region,region_level,start_month,end_month,season_level,cultivation_type,data_quality,source_note,source_year,is_scoring_enabled
苹果,西北,area,10,10,peak,open_field,high,陕西红富士集中在10月采收；https://nynct.shaanxi.gov.cn/xxgk/gknr/zc/twj/202211/t20221130_2756679.html,2022,true
苹果,华东,area,9,11,peak,open_field,high,威海中熟品种9月且晚熟品种10月至11月采收；https://nyj.weihai.gov.cn/art/2018/3/21/art_24524_1206908.html,2018,true
苹果,东北,area,9,10,regular,open_field,high,辽宁省优良品种目录给出主要品种9月至10月成熟；https://nync.ln.gov.cn/nync/index/zwgk/zszdgkwj/2024041615332542844/2024041615340254661.pdf,2024,true
香蕉,全国,national,1,12,unknown,unknown,unverified,国内产区错峰供应但权威材料未给出可安全映射到七大区的统一数字采收窗口；https://www.moa.gov.cn/ztzl/nybrl/rlxx/202403/P020240320506796305818.pdf,2024,false
橙子,华东,area,11,1,peak,open_field,high,赣南脐橙11月开采且次年1月仍有产地采摘；https://www.ganzhou.gov.cn/gzszf/c100022/202510/bb16ff1d7d334a25bf1a08989ab6b997.shtml,2025,true
橙子,华南,area,11,1,peak,open_field,high,广州农业资料说明普通甜橙一般11月至翌年1月；https://www.gzwxb.gov.cn/context/contextId/207661,2022,true
橙子,华南,area,4,5,limited,open_field,high,广州农业资料单列夏橙4月至5月；https://www.gzwxb.gov.cn/context/contextId/207661,2022,true
橙子,华中,area,11,2,regular,open_field,medium,湖北巴东冬橙地方产区11月至次年2月；https://nyt.hubei.gov.cn/bmdt/yw/szdt/202512/t20251219_5837454.shtml,2025,true
橘子,华东,area,9,11,peak,open_field,high,福建特早熟蜜桔9月且江西南丰蜜桔10月底采摘；https://nmfsj.moa.gov.cn/dfzt/fujian/zxzx_25752/202512/t20251217_6479798.htm,2025,true
橘子,华中,area,10,11,peak,open_field,high,湖北农业农村厅说明温州蜜柑10月至11月成熟；https://nyt.hubei.gov.cn/bmdt/yw/ywdt/sgcbgs/201910/t20191029_112231.shtml,2019,true
橘子,华南,area,11,12,regular,open_field,medium,新会地方资料给出大红柑11月下旬至12月采收；https://www.xinhui.gov.cn/zwgk/xhdt/zjdt/content/mpost_3420049.html,2025,true
葡萄,西北,area,7,10,peak,open_field,high,新疆林草局给出早中晚及极晚熟葡萄7月至10月采收；https://lcj.xinjiang.gov.cn/lcj/c114734/202004/283f31d05c0a4ea9b224fca0fb942294.shtml,2020,true
葡萄,华北,area,7,10,regular,mixed,medium,环渤海为主要产区且北京官方采摘信息覆盖7月至10月；https://scs.moa.gov.cn/ccll/jszn/202302/t20230203_6419773.htm,2023,true
猕猴桃,西北,area,10,10,peak,open_field,medium,陕西省政府转载陕西日报报道，支持眉县和周至于10月集中采收；https://www.shaanxi.gov.cn/xw/sxyw/202512/t20251225_3599188.html,2025,true
猕猴桃,西南,area,8,9,peak,open_field,medium,四川地方资料给出8月中旬至9月中旬采摘；https://www.sctyzx.gov.cn/gdtzgz/202208/54287499.html,2022,true
猕猴桃,华中,area,8,9,regular,open_field,medium,湖南麻阳流通标准支持8月至9月产地采收；https://www.mayang.gov.cn/mayang/c105479/202004/cff9f51f5e2843e4ad7094477623c884.shtml,2020,true
草莓,华东,area,12,5,regular,protected,high,上海农业农村委设施草莓窗口为12月至次年5月上旬；https://nyncw.sh.gov.cn/fxbg2/20191226/6a0c8b692d1a47d79ec2eb29c7d54669.html,2019,true
草莓,东北,area,11,6,regular,protected,high,辽宁农业农村厅特色农产品供应表给出11月至次年6月；https://nync.ln.gov.cn/nync/index/rdzt/lnyppwlx/ppml/2026072410371488613/index.shtml,2026,true
蓝莓,全国,national,5,7,peak,mixed,high,江苏官方报道将国产蓝莓传统上市高峰概括为5月至7月；https://www.zgjssw.gov.cn/yaowen/202507/t20250714_8504140.shtml,2025,true
蓝莓,西南,area,12,4,regular,protected,medium,云南早熟设施品种12月中旬开始且产季约至4月下旬；https://nync.yn.gov.cn/html/2023/tianjianyibanli2023_0429/399212.html?cid=5617,2023,true
蓝莓,东北,area,2,7,regular,mixed,high,辽宁农业农村厅给出鲜品2月中旬至7月下旬供应窗口且含设施栽培；https://nync.ln.gov.cn/nync/index/rdzt/lnyppwlx/ppml/2026072410371488613/index.shtml,2026,true
蓝莓,华东,area,5,7,regular,open_field,high,上海青浦政府给出5月底至7月中旬采摘窗口；https://www.shqp.gov.cn/shqp/qpyw/20220602/921444.html,2022,true
西瓜,华南,area,1,2,limited,mixed,medium,全国西瓜接续上市资料给出华南早季1月至2月；https://www.hnwx.gov.cn/2026/07-09/77871.html,2026,true
西瓜,西南,area,3,4,regular,open_field,medium,全国西瓜接续上市资料给出云南春瓜3月至4月；https://www.hnwx.gov.cn/2026/07-09/77871.html,2026,true
西瓜,华东,area,5,6,peak,open_field,high,连云港市政府说明华东露地西瓜5月至6月集中供应；https://www.lyg.gov.cn/zglygzfmhwz/sjjd/content/6f51a443-6690-4e68-a200-c3466edb49ff.html,2025,true
